,tconst,director(s),cast
0,tt0069049,['Orson Welles'],"['John Huston', 'Susan Strasberg', 'Peter Bogdanovich', 'Oja Kodar']"
1,tt0360556,['Ramin Bahrani'],"['Cindy Katz', 'Michael Shannon', 'Michael B. Jordan', 'Aaron Davis']"
2,tt0365545,['Haifaa Al-Mansour'],"['Lynn Whitfield', 'Sanaa Lathan', 'Lyriq Bent', 'Ricky Whittle']"
3,tt0427543,['Sam Taylor-Johnson'],"['Giovanni Ribisi', 'Billy Bob Thornton', 'Aaron Taylor-Johnson', 'Odessa Young']"
4,tt0437086,['Robert Rodriguez'],"['Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali', 'Rosa Salazar']"
5,tt0441881,['Kriv Stenders'],"['Travis Fimmel', 'Toby Blome', 'Alexander England', 'Aaron Glenane']"
6,tt0448115,['David F. Sandberg'],"['Mark Strong', 'Zachary Levi', 'Asher Angel', 'Jack Dylan Grazer']"
7,tt0783640,['Todd Robinson'],"['LisaGay Hamilton', 'Sebastian Stan', 'Alison Sudol', 'Asher Miles Fallica']"
8,tt0800325,['Jeff Tremaine'],"['Iwan Rheon', 'Douglas Booth', 'Machine Gun Kelly', 'Daniel Webber']"
9,tt0805647,['Robert Zemeckis'],"['Chris Rock', 'Stanley Tucci', 'Anne Hathaway', 'Octavia Spencer']"
10,tt0837563,"['Kevin Kölsch', 'Dennis Widmyer']","['John Lithgow', 'Jason Clarke', 'Amy Seimetz', 'Jeté Laurence']"
11,tt0920462,['William Olsson'],"['Carice van Houten', 'Takehiro Hira', 'Alexandra Daddario', 'Andrew Rothney']"
12,tt0972544,['Alex Pettyfer'],"['Robert Patrick', 'Juliette Lewis', 'Jennifer Morrison', 'Nicola Peltz']"
13,tt0983946,['Jeff Wadlow'],"['Michael Peña', 'Maggie Q', 'Lucy Hale', 'Austin Stowell']"
14,tt10001184,['John Wells'],"['William H. Macy', 'Shanola Hampton', 'Jeremy Allen White', 'Ethan Cutkosky']"
15,tt10003008,['Dave Franco'],"['Dan Stevens', 'Alison Brie', 'Jeremy Allen White', 'Sheila Vand']"
16,tt10003824,['Bill Roe'],"['James Spader', 'Megan Boone', 'Diego Klattenhoff', 'Amir Arison']"
17,tt10005284,['Andrew Cividino'],"['Eugene Levy', ""Catherine O'Hara"", 'Annie Murphy', 'Dan Levy']"
18,tt10005628,['Sylvain White'],"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']"
19,tt10006006,['John Schultz'],"['Alice Krige', 'Rose McIver', 'Ben Lamb', 'Honor Kneafsey']"
20,tt10008784,['Annie Silverstein'],"['Yolonda Ross', 'Rob Morgan', 'Amber Havard', 'Keira Bennett']"
21,tt10009030,"['Stephen Cedars', 'Benji Kleiman']","['Mary Nepi', 'Gabrielle Elyse', 'J.J. Nolan', 'Austin Fryberger']"
22,tt10009604,['David Harewood'],"['Chyler Leigh', 'Mehcad Brooks', 'Melissa Benoist', 'Katie McGrath']"
23,tt10011150,['Amanda Marsalis'],"['Thandiwe Newton', 'Jeffrey Wright', 'Evan Rachel Wood', 'Tessa Thompson']"
24,tt10011152,['Paul Cameron'],"['Thandiwe Newton', 'Jeffrey Wright', 'Evan Rachel Wood', 'Tessa Thompson']"
25,tt10011154,['Anna Foerster'],"['Thandiwe Newton', 'Jeffrey Wright', 'Evan Rachel Wood', 'Tessa Thompson']"
26,tt10011156,['Jennifer Getzinger'],"['Thandiwe Newton', 'Jeffrey Wright', 'Evan Rachel Wood', 'Tessa Thompson']"
27,tt10011158,['Helen Shaver'],"['Thandiwe Newton', 'Jeffrey Wright', 'Evan Rachel Wood', 'Tessa Thompson']"
28,tt10011160,['Jennifer Getzinger'],"['Thandiwe Newton', 'Jeffrey Wright', 'Evan Rachel Wood', 'Tessa Thompson']"
29,tt10011336,['Sasie Sealy'],"['Tsai Chin', 'Hsiao-Yuan Ha', 'Michael Tow', 'Woody Fu']"
30,tt10017956,['Qasim Khallow'],"['Deepika Amin', 'Shweta Tripathi', 'Alisha', 'Malvika Bajaj']"
31,tt10023024,['Imtiaz Ali'],"['Randeep Hooda', 'Kartik Aaryan', 'Sara Ali Khan', 'Arushi Sharma']"
32,tt10023268,['Stephen Surjik'],"['Elliot Page', 'Tom Hopper', 'David Castañeda', 'Emmy Raver-Lampman']"
33,tt10039344,['Justin Dec'],"['Peter Facinelli', 'Jordan Calloway', 'Elizabeth Lail', 'Talitha Eliana Bateman']"
34,tt10042144,['Dani de la Orden'],"['Itzan Escamilla', 'Miguel Bernardeau', 'Álvaro Rico', 'Arón Piper']"
35,tt10050328,"['Hiroyuki Okuno', 'Chikara Sakurai']","['Hikaru Midorikawa', 'Hiroki Yasumoto', 'Yûki Kaji', 'Makoto Furukawa', 'Kaito Ishikawa']"
36,tt10050330,"['Chikara Sakurai', 'Ryô Andô']","['Katsuyuki Konishi', 'Hiroki Yasumoto', 'Makoto Furukawa', 'Kaito Ishikawa', 'Saori Hayami']"
37,tt10050332,"['Toshinori Fukushima', 'Makoto Sokuza', 'Chikara Sakurai', 'Miyuki Ishida']","['Wataru Hatano', 'Hiroki Yasumoto', 'Yûichi Nakamura', 'Makoto Furukawa']"
