,index,tconst,titleType,primaryName,originalName,isAdult,yearOfRelease,Duration,genres,averageRating,numVotes
0,1026645,tt6998518,movie,Mandy,Mandy,False,2018,121,"Action,Horror,Mystery",6.5,65722
1,1035201,tt7177814,tvEpisode,Castle Party Massacre,Castle Party Massacre,False,2018,30,"Action,Adventure,Animation",7.2,1536
2,1051022,tt7542168,tvEpisode,The Woman Who Fell to Earth,The Woman Who Fell to Earth,False,2018,60,"Adventure,Drama,Family",6.8,9624
3,1035205,tt7177822,tvEpisode,Love's Tender Rampage,Love's Tender Rampage,False,2018,28,"Action,Adventure,Animation",7.1,1369
4,1056807,tt7668724,movie,The Marine 6: Close Quarters,The Marine 6: Close Quarters,False,2018,85,"Action,Drama",4.9,1188
5,1035200,tt7177810,tvEpisode,The Limits of Immortality,The Limits of Immortality,False,2018,27,"Action,Adventure,Animation",7.5,1369
6,1035208,tt7177828,tvEpisode,Dreamland Falls,Dreamland Falls,False,2018,28,"Action,Adventure,Animation",8.0,1436
7,1037863,tt7231342,movie,The Fall of the American Empire,La chute de l'empire américain,False,2018,127,"Comedy,Crime",6.8,2765
8,1051417,tt7550466,tvEpisode,LaWanda: The Book of Burial,LaWanda: The Book of Burial,False,2018,42,"Action,Drama,Sci-Fi",7.1,1073
9,1035193,tt7177782,tvEpisode,The Princess of Darkness,The Princess of Darkness,False,2018,29,"Action,Adventure,Animation",7.2,1661
10,1019832,tt6858020,movie,In Your Hands,Au bout des doigts,False,2018,105,"Drama,Romance",6.4,1200
11,1035206,tt7177824,tvEpisode,To Thine Own Elf Be True,To Thine Own Elf Be True,False,2018,28,"Action,Adventure,Animation",8.2,1482
12,999662,tt6438030,movie,Gangsta,Patser,False,2018,125,"Crime,Thriller",6.6,3216
13,747028,tt2316479,movie,Blue Iguana,Blue Iguana,False,2018,100,"Action,Comedy,Crime",5.6,2530
14,1056765,tt7667104,tvEpisode,The Negotiation,The Negotiation,False,2018,21,"Comedy,Crime",8.3,1906
15,1037872,tt7231572,movie,Not Cinderella's Type,Not Cinderella's Type,False,2018,97,"Drama,Romance",6.1,2100
16,1035203,tt7177818,tvEpisode,Swamp and Circumstance,Swamp and Circumstance,False,2018,28,"Action,Adventure,Animation",7.0,1394
17,1024951,tt6966692,movie,Green Book,Green Book,False,2018,130,"Biography,Comedy,Drama",8.2,393244
18,1010040,tt6667766,tvEpisode,Elmsley Count,Elmsley Count,False,2018,55,Drama,9.4,1402
19,1024507,tt6957966,movie,Little Italy,Little Italy,False,2018,102,"Comedy,Romance",5.7,12035
20,1019573,tt6854672,movie,Battle,Battle,False,2018,95,"Drama,Music,Romance",6.0,3770
21,1024509,tt6958014,movie,Duck Butter,Duck Butter,False,2018,93,"Comedy,Drama,Romance",5.3,3303
22,1035204,tt7177820,tvEpisode,"Faster, Princess! Kill! Kill!","Faster, Princess! Kill! Kill!",False,2018,28,"Action,Adventure,Animation",7.6,1524
23,1024512,tt6958030,movie,1921,1921,False,2018,144,"Horror,Mystery,Romance",4.4,1044
24,1019827,tt6857988,movie,I Am Not an Easy Man,Je ne suis pas un homme facile,False,2018,98,Comedy,6.3,12667
25,1037867,tt7231546,movie,Kayamkulam Kochunni,Kayamkulam Kochunni,False,2018,152,"Action,Drama,History",7.0,2008
26,1037939,tt7233726,movie,Default,Gukgabudo-ui nal,False,2018,114,Drama,6.6,1027
27,1050857,tt7538958,movie,Animal,Animal,False,2018,112,"Drama,Thriller",6.2,1235
28,1050901,tt7539856,tvEpisode,State of the Uterus,State of the Uterus,False,2018,57,"Comedy,Crime,Drama",7.6,1036
29,1057695,tt7689906,movie,Monsters and Men,Monsters and Men,False,2018,96,"Crime,Drama,Thriller",5.9,2003
30,999764,tt6439884,tvEpisode,The Car,The Car,False,2018,43,"Comedy,Drama,Romance",9.2,2149
31,999763,tt6439882,tvEpisode,The Wedding,The Wedding,False,2018,43,"Comedy,Drama,Romance",8.7,1925
32,999762,tt6439880,tvEpisode,"This Big, Amazing, Beautiful Life","This Big, Amazing, Beautiful Life",False,2018,43,"Comedy,Drama,Romance",7.6,1892
33,999761,tt6439878,tvEpisode,A Philadelphia Story,A Philadelphia Story,False,2018,43,"Comedy,Drama,Romance",8.2,1097
34,999760,tt6439876,tvEpisode,"Vegas, Baby","Vegas, Baby",False,2018,43,"Comedy,Drama,Romance",8.0,1744
35,999759,tt6439874,tvEpisode,Nine Bucks,Nine Bucks,False,2018,43,"Comedy,Drama,Romance",8.7,1356
36,999758,tt6439870,tvEpisode,Super Bowl Sunday,Super Bowl Sunday,False,2018,46,"Comedy,Drama,Romance",9.8,4849
37,999757,tt6439868,tvEpisode,That'll Be the Day,That'll Be the Day,False,2018,43,"Comedy,Drama,Romance",9.4,2765
38,999756,tt6439866,tvEpisode,Clooney,Clooney,False,2018,43,"Comedy,Drama,Romance",8.5,1710
39,999754,tt6439862,tvEpisode,The Fifth Wheel,The Fifth Wheel,False,2018,43,"Comedy,Drama,Romance",9.2,2201
40,1055597,tt7641606,tvEpisode,"The Good, the Bad and the Cuddly","The Good, the Bad and the Cuddly",False,2018,41,"Action,Adventure,Drama",8.5,2025
41,1050854,tt7538918,tvEpisode,Chapter 66,Chapter 66,False,2018,53,Drama,4.2,5795
42,986609,tt6205872,movie,Assassination Nation,Assassination Nation,False,2018,108,"Action,Comedy,Crime",6.0,16128
43,1038673,tt7246768,tvEpisode,Chapter 12,Chapter 12,False,2018,42,"Action,Drama,Sci-Fi",8.4,1994
44,1001264,tt6469548,movie,The Head Hunter,The Head Hunter,False,2018,72,"Fantasy,Horror",5.3,5340
45,988724,tt6237612,movie,Accident Man,Accident Man,False,2018,105,"Action,Crime,Thriller",6.2,8082
46,1019501,tt6852872,movie,Elizabeth Harvest,Elizabeth Harvest,False,2018,108,"Horror,Sci-Fi,Thriller",5.8,7022
47,738287,tt2243900,movie,Trouble Is My Business,Trouble Is My Business,False,2018,116,"Action,Adventure,Crime",5.6,1340
48,988737,tt6237966,movie,Thaanaa Serndha Koottam,Thaanaa Serndha Koottam,False,2018,138,"Action,Comedy,Crime",6.7,5131
49,1009796,tt6663582,movie,The Spy Who Dumped Me,The Spy Who Dumped Me,False,2018,117,"Action,Adventure,Comedy",6.0,69940
50,1051443,tt7550700,tvEpisode,Sportin' Waves,Sportin' Waves,False,2018,23,"Comedy,Drama,Music",8.3,1598
51,1026674,tt6999052,movie,Mario,Mario,False,2018,124,"Drama,Romance,Sport",7.4,3496
52,1038672,tt7246760,tvEpisode,Chapter 11,Chapter 11,False,2018,52,"Action,Drama,Sci-Fi",8.7,1841
53,1009734,tt6662736,movie,What They Had,What They Had,False,2018,101,Drama,6.7,3652
54,1051454,tt7550952,movie,Hürkus,Hürkus,False,2018,113,"Biography,History,War",5.7,1043
55,1035131,tt7176470,tvEpisode,What Lies Beneath,What Lies Beneath,False,2018,41,"Action,Drama,Fantasy",9.0,2015
56,999475,tt6433456,movie,Becoming Astrid,Unga Astrid,False,2018,123,"Biography,Drama",7.1,5143
57,1035133,tt7176484,tvEpisode,Thy Soul Instructed,Thy Soul Instructed,False,2018,41,"Action,Drama,Fantasy",9.0,1975
58,1018507,tt6835498,movie,Crystal Swan,Khrustal,False,2018,95,Drama,7.0,1576
59,1035130,tt7176466,tvEpisode,The Powers That Be,The Powers That Be,False,2018,42,"Action,Drama,Fantasy",9.1,2083
60,1049352,tt7508606,tvEpisode,The Slabside Redemption,The Slabside Redemption,False,2018,41,"Action,Adventure,Crime",9.4,3081
61,999492,tt6433832,movie,The Tree of Blood,El árbol de la sangre,False,2018,130,Drama,6.4,2505
62,1001092,tt6466464,movie,The Monkey King 3,Xi you ji zhi nü er guo,False,2018,114,"Action,Adventure,Family",5.5,1222
63,1026569,tt6997574,tvMovie,"My Teacher, My Obsession","My Teacher, My Obsession",False,2018,90,"Drama,Thriller",4.4,1905
64,1051229,tt7546486,movie,Kayhan,Kayhan,False,2018,105,Comedy,2.1,2874
65,1011964,tt6708116,movie,Bad Seeds,Mauvaises herbes,False,2018,100,Comedy,7.3,4364
66,1011963,tt6708044,movie,The Tribe,La tribu,False,2018,90,"Comedy,Family",5.8,2359
67,1009347,tt6650364,movie,Carbon,Carbon,False,2018,146,"Adventure,Thriller",6.9,1096
68,1049353,tt7508614,tvEpisode,Crossing Lines,Crossing Lines,False,2018,41,"Action,Adventure,Crime",8.3,2008
69,1001160,tt6467592,tvEpisode,First Light,First Light,False,2018,49,"Action,Adventure,Drama",7.5,1447
70,1037692,tt7228356,tvEpisode,Sic Semper Tyrannis,Sic Semper Tyrannis,False,2018,42,"Drama,Mystery,Sci-Fi",8.7,2001
71,1037693,tt7228358,tvEpisode,How We Get to Peace,How We Get to Peace,False,2018,42,"Drama,Mystery,Sci-Fi",8.6,2002
72,1037696,tt7228366,tvEpisode,Damocles: Part Two,Damocles: Part Two,False,2018,42,"Drama,Mystery,Sci-Fi",9.6,5277
73,1019779,tt6857166,movie,Book Club,Book Club,False,2018,104,"Comedy,Drama,Romance",6.1,25755
74,1019766,tt6857040,movie,The Appearance,The Appearance,False,2018,111,"Horror,Thriller",4.7,1060
75,1037694,tt7228362,tvEpisode,The Warriors Will,The Warriors Will,False,2018,42,"Drama,Mystery,Sci-Fi",8.3,1895
76,1051319,tt7548898,tvEpisode,House of Special Purpose,House of Special Purpose,False,2018,88,Drama,6.8,1208
77,1037695,tt7228364,tvEpisode,The Dark Year,The Dark Year,False,2018,42,"Drama,Mystery,Sci-Fi",8.5,1955
78,1051305,tt7548570,movie,Swathanthryam Ardharathriyil,Swathanthryam Ardharathriyil,False,2018,138,"Action,Crime,Thriller",7.4,1232
79,1037697,tt7228370,tvEpisode,Damocles: Part One,Damocles: Part One,False,2018,42,"Drama,Mystery,Sci-Fi",9.0,2391
80,1056769,tt7667344,tvEpisode,Simone,Simone,False,2018,54,"Comedy,Drama",8.3,1694
81,1011959,tt6707906,movie,Odiyan,Odiyan,False,2018,167,"Action,Drama,Fantasy",5.5,3304
82,1037688,tt7228342,tvEpisode,Shifting Sands,Shifting Sands,False,2018,42,"Drama,Mystery,Sci-Fi",8.3,2191
83,1037690,tt7228346,tvEpisode,Exit Wounds,Exit Wounds,False,2018,42,"Drama,Mystery,Sci-Fi",8.3,2024
84,1037691,tt7228352,tvEpisode,Acceptable Losses,Acceptable Losses,False,2018,42,"Drama,Mystery,Sci-Fi",8.3,1931
85,1051401,tt7550154,tvEpisode,Ruin,Ruin,False,2018,43,"Crime,Drama,Mystery",8.7,1296
86,1056816,tt7668842,movie,Enes Batur,Enes Batur Hayal mi Gerçek mi?,False,2018,110,Comedy,4.0,54385
87,1035192,tt7177774,tvEpisode,For Whom the Pig Oinks,For Whom the Pig Oinks,False,2018,28,"Action,Adventure,Animation",6.9,1839
88,1049367,tt7508732,tvEpisode,Unmasked,Unmasked,False,2018,42,"Action,Adventure,Crime",8.4,1883
89,1049366,tt7508730,tvEpisode,Level Two,Level Two,False,2018,42,"Action,Adventure,Crime",8.2,1908
90,1056770,tt7667348,tvEpisode,Someday...,Someday...,False,2018,43,"Comedy,Drama",8.3,1272
91,1009879,tt6665296,tvEpisode,Fight or Flight,Fight or Flight,False,2018,43,"Drama,Mystery,Sci-Fi",8.8,2935
92,1009880,tt6665300,tvEpisode,IFF,IFF,False,2018,42,"Drama,Mystery,Sci-Fi",9.0,2760
93,1009881,tt6665304,tvEpisode,Assured Destruction,Assured Destruction,False,2018,44,"Drama,Mystery,Sci-Fi",8.9,2565
94,1035101,tt7175992,movie,School's Out,L'heure de la sortie,False,2018,104,"Drama,Mystery,Thriller",6.5,2398
95,1051048,tt7542576,movie,All About Nina,All About Nina,False,2018,97,"Comedy,Drama,Romance",6.1,2260
96,1037859,tt7231194,movie,R.I.P.,Ee. Ma. Yau,False,2018,120,"Comedy,Drama",8.3,2945
97,986181,tt6197494,movie,Malicious,Malicious,False,2018,90,"Horror,Thriller",5.0,3429
98,1055757,tt7643978,tvEpisode,The Captain,The Captain,False,2018,42,"Crime,Drama,Romance",7.5,2820
99,1049371,tt7508746,tvEpisode,The Demon,The Demon,False,2018,42,"Action,Adventure,Crime",8.6,2008
100,1009891,tt6665354,tvEpisode,Fallen World,Fallen World,False,2018,44,"Drama,Mystery,Sci-Fi",8.7,2121
