,index,tconst,titleType,primaryName,originalName,isAdult,yearOfRelease,Duration,genres,averageRating,numVotes,director(s),cast
0,1026645,tt6998518,movie,Mandy,Mandy,0,2018,121,"Action,Horror,Mystery",6.5,65722,['Panos Cosmatos'],"['Nicolas Cage', 'Linus Roache', 'Ned Dennehy', 'Andrea Riseborough']"
1,1035201,tt7177814,tvEpisode,Castle Party Massacre,Castle Party Massacre,0,2018,30,"Action,Adventure,Animation",7.2,1536,['David D. Au'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
2,1051022,tt7542168,tvEpisode,The Woman Who Fell to Earth,The Woman Who Fell to Earth,0,2018,60,"Adventure,Drama,Family",6.8,9624,['Jamie Childs'],"['Bradley Walsh', 'Jodie Whittaker', 'Tosin Cole', 'Mandip Gill']"
3,1035205,tt7177822,tvEpisode,Love's Tender Rampage,Love's Tender Rampage,0,2018,28,"Action,Adventure,Animation",7.1,1369,['Peter Avanzino'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
4,1056807,tt7668724,movie,The Marine 6: Close Quarters,The Marine 6: Close Quarters,0,2018,85,"Action,Drama",4.9,1188,['James Nunn'],"['Shawn Michaels', ""Mike 'The Miz' Mizanin"", 'Rebecca Quin', 'Louisa Connolly-Burnham']"
5,1035200,tt7177810,tvEpisode,The Limits of Immortality,The Limits of Immortality,0,2018,27,"Action,Adventure,Animation",7.5,1369,['Brian Sheesley'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
6,1035208,tt7177828,tvEpisode,Dreamland Falls,Dreamland Falls,0,2018,28,"Action,Adventure,Animation",8.0,1436,['Wesley Archer'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
7,1037863,tt7231342,movie,The Fall of the American Empire,La chute de l'empire américain,0,2018,127,"Comedy,Crime",6.8,2765,['Denys Arcand'],"['Maxim Roy', 'Vincent Leclerc', 'Éric Bruneau', 'Rose-Marie Perreault']"
8,1051417,tt7550466,tvEpisode,LaWanda: The Book of Burial,LaWanda: The Book of Burial,0,2018,42,"Action,Drama,Sci-Fi",7.1,1073,['Mark Tonderai'],"['Cress Williams', 'Christine Adams', 'China Anne McClain', 'Nafessa Williams']"
9,1035193,tt7177782,tvEpisode,The Princess of Darkness,The Princess of Darkness,0,2018,29,"Action,Adventure,Animation",7.2,1661,['Wesley Archer'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
10,1019832,tt6858020,movie,In Your Hands,Au bout des doigts,0,2018,105,"Drama,Romance",6.4,1200,['Ludovic Bernard'],"['Lambert Wilson', 'Kristin Scott Thomas', 'Karidja Touré', 'Jules Benchetrit']"
11,1035206,tt7177824,tvEpisode,To Thine Own Elf Be True,To Thine Own Elf Be True,0,2018,28,"Action,Adventure,Animation",8.2,1482,['Frank Marino'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
12,999662,tt6438030,movie,Gangsta,Patser,0,2018,125,"Crime,Thriller",6.6,3216,"['Adil El Arbi', 'Bilall Fallah']","['Paloma Aguilera Valdebenito', 'Ali B.', ""Dimitri 'Vegas' Thivaios"", 'Eduardo Almeida']"
13,747028,tt2316479,movie,Blue Iguana,Blue Iguana,0,2018,100,"Action,Comedy,Crime",5.6,2530,['Hadi Hajaig'],"['Sam Rockwell', 'Peter Ferdinando', 'Ben Schwartz', 'Phoebe Fox']"
14,1056765,tt7667104,tvEpisode,The Negotiation,The Negotiation,0,2018,21,"Comedy,Crime",8.3,1906,['Linda Mendoza'],"['Andy Samberg', 'Terry Crews', 'Melissa Fumero', 'Stephanie Beatriz']"
15,1037872,tt7231572,movie,Not Cinderella's Type,Not Cinderella's Type,0,2018,97,"Drama,Romance",6.1,2100,['Brian Brough'],"['Scott Christopher', 'Tanner Gillman', 'Paris Warner', 'Tim Flynn']"
16,1035203,tt7177818,tvEpisode,Swamp and Circumstance,Swamp and Circumstance,0,2018,28,"Action,Adventure,Animation",7.0,1394,['Albert Calleros'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
17,1024951,tt6966692,movie,Green Book,Green Book,0,2018,130,"Biography,Comedy,Drama",8.2,393244,['Peter Farrelly'],"['Viggo Mortensen', 'Linda Cardellini', 'Mahershala Ali', 'Sebastian Maniscalco']"
18,1010040,tt6667766,tvEpisode,Elmsley Count,Elmsley Count,0,2018,55,Drama,9.4,1402,['Colin Bucksey'],"['Paul Giamatti', 'Damian Lewis', 'Malin Akerman', 'Maggie Siff']"
19,1024507,tt6957966,movie,Little Italy,Little Italy,0,2018,102,"Comedy,Romance",5.7,12035,['Donald Petrie'],"['Andrea Martin', 'Danny Aiello', 'Hayden Christensen', 'Emma Roberts']"
20,1019573,tt6854672,movie,Battle,Battle,0,2018,95,"Drama,Music,Romance",6.0,3770,['Katarina Launing'],"['Stig R. Amdam', 'Vebjørn Enger', 'Fabian Svegaard Tapia', 'Lisa Teige']"
21,1024509,tt6958014,movie,Duck Butter,Duck Butter,0,2018,93,"Comedy,Drama,Romance",5.3,3303,['Miguel Arteta'],"['Marc Maron', 'Alia Shawkat', 'Mark Duplass', 'Drew Langer']"
22,1035204,tt7177820,tvEpisode,"Faster, Princess! Kill! Kill!","Faster, Princess! Kill! Kill!",0,2018,28,"Action,Adventure,Animation",7.6,1524,['Ira Sherak'],"['John DiMaggio', 'Nat Faxon', 'Abbi Jacobson', 'Eric André']"
23,1019827,tt6857988,movie,I Am Not an Easy Man,Je ne suis pas un homme facile,0,2018,98,Comedy,6.3,12667,['Eléonore Pourriat'],"['Vincent Elbaz', 'Pierre Benezit', 'Blanche Gardin', 'Marie-Sophie Ferdane']"
24,1037867,tt7231546,movie,Kayamkulam Kochunni,Kayamkulam Kochunni,0,2018,152,"Action,Drama,History",7.0,2008,['Roshan Andrews'],"['Mohanlal', 'Nivin Pauly', 'Sunny Wayne', 'Priya Anand']"
25,1037939,tt7233726,movie,Default,Gukgabudo-ui nal,0,2018,114,Drama,6.6,1027,['Kook-Hee Choi'],"['Kim Hye-su', 'Joon-ho Huh', 'Ah-in Yoo', 'Woo-jin Jo']"
26,1050857,tt7538958,movie,Animal,Animal,0,2018,112,"Drama,Thriller",6.2,1235,['Armando Bo'],"['Guillermo Francella', 'Carla Peterson', 'Federico Salles', 'Mercedes De Santis']"
